Client,Tot Fil+ GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedium,29480.98,f01240,f023467,f01234,f022352,f02576,f049882,f010479,f010446,f047419,f014768,f062353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speedium,29480.98,Speedium / 53.68%,Phi Mining / 11.35%,ElioVP / 9.66%,reiers / 8.63%,benjaminh / 8.47%,Chipz / 4.35%,s0nik42 / 1.36%,Unknown / 1.30%,deegee / 1.09%,Unknown / 0.11%,Factor8 / 0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FileDrive,25700.00,f0116436,f0118330,f0116445,f0118317,f063869,f034544,f034545,f0134518,f0134516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FileDrive,25700.00,unknown cn 2 / 22.43%,unknown cn 5 / 21.32%,unknown cn 3 / 20.32%,unknown cn 4 / 18.24%,unknown cn 1 / 7.12%,unknown cn 11 / 5.22%,unknown cn 12 / 4.97%,unknown cn 7 / 0.25%,unknown cn 6 / 0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW/UNKNOWN,19873.50,f0391143,f0364957,f0228712,f0226324,f0167505,f01240,f023467,f022352,f02576,f09848,f010446,f010479,f0145874,f02387,f071624,f01276,f01278,f015927,f019104,f066596,f061158,f08103,,,,,,,,,,,,,,,,,
NEW/UNKNOWN,19873.50,unknown cn 11 / 28.82%,unknown cn 10 / 21.90%,unknown na 1 / 20.29%,unknown cn 9 / 12.24%,unknown cn 8 / 9.66%,Speedium / 1.77%,Phi Mining / 0.82%,reiers / 0.74%,benjaminh / 0.67%,bigbear / 0.48%,Unknown / 0.39%,s0nik42 / 0.32%,Unknown / 0.32%,Unknown / 0.32%,Unknown / 0.32%,NBFS / 0.16%,stuberman / 0.16%,Chris / 0.16%,NBFS / 0.16%,Unknown / 0.16%,Unknown / 0.12%,Unknown / 0.01%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kernelogic,6112.00,f01278,f022352,f062353,f01276,f047419,f02401,f08403,f015927,f09848,f02387,f064218,f022142,f010617,f01234,f023467,,,,,,,,,,,,,,,,,,,,,,,,
Kernelogic,6112.00,stuberman / 15.97%,reiers / 10.73%,Factor8 / 10.47%,NBFS / 9.42%,deegee / 6.81%,NBFS / 6.28%,TippyFlits / 6.28%,Chris / 5.76%,bigbear / 5.24%,Unknown / 4.71%,XinAn Xu / 4.71%,Nelson / 4.19%,Kernelogic / 3.66%,ElioVP / 3.14%,Phi Mining / 2.62%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBFS,5460.50,f010479,f07998,f010617,f019104,f022142,f023467,f01278,f09848,f062353,f03624,f047419,f01240,f08399,f015927,f02387,f02401,f022352,f01276,f019100,f02576,f08403,f010446,f065280,f053088,f019551,f080480,f01272,f023977,f060693,f079817,,,,,,,,,
NBFS,5460.50,s0nik42 / 24.76%,Anwen / 19.49%,Kernelogic / 13.92%,NBFS / 10.26%,Nelson / 3.52%,Phi Mining / 3.26%,stuberman / 2.89%,bigbear / 2.71%,Factor8 / 2.12%,Unknown / 2.05%,deegee / 2.05%,Speedium / 1.76%,Unknown / 1.76%,Chris / 1.47%,Unknown / 1.47%,NBFS / 1.47%,reiers / 1.21%,NBFS / 0.88%,Unknown / 0.73%,benjaminh / 0.59%,TippyFlits / 0.59%,Unknown / 0.29%,Unknown / 0.26%,Unknown / 0.18%,Unknown / 0.11%,Unknown / 0.07%,Unknown / 0.04%,Unknown / 0.04%,Unknown / 0.04%,Unknown / 0.04%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guazi Dynamic,5106.00,f063869,f0134516,f0134518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guazi Dynamic,5106.00,unknown cn 1 / 40.38%,unknown cn 6 / 30.12%,unknown cn 7 / 29.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s0nik42,5104.00,f01240,f02576,f062353,f010479,f02401,f02387,f019104,f01276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s0nik42,5104.00,Speedium / 20.38%,benjaminh / 20.38%,Factor8 / 20.38%,s0nik42 / 18.50%,NBFS / 7.21%,Unknown / 5.02%,NBFS / 4.39%,NBFS / 3.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
