MinerID,Owner,Tot Fil+ GB,% of total bytes as Fil+,,,,,,,,,,,,
f01240,Speedium,18946.45,9.84,Speedium / 83.53%,s0nik42 / 5.49%,LandSatFile / 5.24%,Simba / 2.03%,NEW/UNKNOWN / 1.86%,Linix Webhosting / 1.01%,NBFS / 0.51%,ElioVP / 0.17%,Phi Mining / 0.17%,,,
f0391143,unknown cn 11,10080.00,83.83,NEW/UNKNOWN / 56.83%,上海小工蚁电子商务股份有限公司 / 23.49%,杭州讯酷科技有限公司 / 19.68%,,,,,,,,,
f0364957,unknown cn 10,9088.00,90.11,NEW/UNKNOWN / 47.89%,上海小工蚁电子商务股份有限公司 / 29.58%,Shanghai Futures Exchange / 22.54%,,,,,,,,,
f0228712,unknown na 1,8320.00,89.96,NEW/UNKNOWN / 48.46%,Shenzhen Xiaoyu Blockchain Technology / 29.23%,Shanghai Futures Exchange / 22.31%,,,,,,,,,
f0226324,unknown cn 9,7424.00,90.01,Shenzhen Xiaoyu Blockchain Technology / 35.34%,NEW/UNKNOWN / 32.76%,北京中电博顺智能设备技术有限公司 / 31.90%,,,,,,,,,
f023467,Phi Mining,6985.50,10.59,Speedium / 47.89%,Wang Liang / 14.66%,LandSatFile / 12.83%,Askender / 7.33%,Filbox / 6.60%,Linix Webhosting / 3.44%,NBFS / 2.55%,NEW/UNKNOWN / 2.32%,Kernelogic / 2.29%,Alyale Philippines / 0.08%,JV / 0.01%,!!!ALLOCATION NOT PUBLIC!!! / 0.01%
f0167505,unknown cn 8,6976.00,90.45,北京中电博顺智能设备技术有限公司 / 38.53%,杭州讯酷科技有限公司 / 33.94%,NEW/UNKNOWN / 27.52%,,,,,,,,,
f063869,unknown cn 1,5852.00,0.09,Guazi Dynamic / 35.24%,IPFS Force / 33.49%,FileDrive / 31.27%,,,,,,,,,
f0116436,unknown cn 2,5764.00,1.58,FileDrive / 100.00%,,,,,,,,,,,
f0118330,unknown cn 5,5479.00,1.47,FileDrive / 100.00%,,,,,,,,,,,
f022352,reiers,5350.03,2.72,Speedium / 47.55%,Filbox / 18.86%,Kernelogic / 12.26%,Simba / 9.57%,Wang Liang / 5.98%,NEW/UNKNOWN / 2.74%,Askender / 1.79%,NBFS / 1.23%,JV / 0.01%,!!!ALLOCATION NOT PUBLIC!!! / 0.00%,,
f0116445,unknown cn 3,5221.00,1.43,FileDrive / 100.00%,,,,,,,,,,,
f0161542,unknown 3,5056.16,0.06,liyiping / 81.01%,安徽六六六科技有限公司 / 18.99%,,,,,,,,,,
f0118317,unknown cn 4,4688.00,1.25,FileDrive / 100.00%,,,,,,,,,,,
f02576,benjaminh,4551.00,3.49,Speedium / 54.87%,s0nik42 / 22.85%,Simba / 11.25%,Linix Webhosting / 7.38%,NEW/UNKNOWN / 2.94%,NBFS / 0.70%,,,,,,
f010479,s0nik42,4440.01,8.19,NBFS / 30.45%,LandSatFile / 23.06%,s0nik42 / 21.26%,Wang Liang / 14.77%,Speedium / 9.01%,NEW/UNKNOWN / 1.44%,Piñata / 0.00%,,,,,
f01234,ElioVP,4032.00,1.57,Speedium / 70.63%,ElioVP / 24.60%,Kernelogic / 4.76%,,,,,,,,,
f0134516,unknown cn 6,3166.00,1.09,IPFS Force / 50.28%,Guazi Dynamic / 48.58%,FileDrive / 1.14%,,,,,,,,,
f0134518,unknown cn 7,3106.00,1.13,IPFS Force / 49.45%,Guazi Dynamic / 48.49%,FileDrive / 2.06%,,,,,,,,,
f09848,bigbear,2636.50,3.50,Wang Liang / 29.74%,Filbox / 28.83%,Simba / 19.42%,Kernelogic / 12.14%,NBFS / 5.61%,NEW/UNKNOWN / 3.64%,Askender / 0.61%,JV / 0.02%,,,,
f089228,unknown 2,2232.00,0.04,IPFS Union / 100.00%,,,,,,,,,,,
f047419,deegee,2192.00,8.69,LandSatFile / 52.55%,Kernelogic / 18.98%,Speedium / 14.60%,Filbox / 7.30%,NBFS / 5.11%,Askender / 1.46%,,,,,,
f02401,NBFS,2080.00,1.36,Filbox / 45.38%,Kernelogic / 18.46%,s0nik42 / 17.69%,Wang Liang / 8.46%,Askender / 6.15%,NBFS / 3.85%,,,,,,
f07998,Anwen,1964.00,4.32,NBFS / 54.18%,Askender / 45.82%,,,,,,,,,,
f062353,Factor8,1829.00,1.32,s0nik42 / 56.86%,Kernelogic / 34.99%,NBFS / 6.34%,Askender / 1.75%,Speedium / 0.05%,,,,,,,
f01278,stuberman,1746.00,6.68,Kernelogic / 55.90%,Wang Liang / 25.66%,NBFS / 9.05%,Askender / 5.50%,NEW/UNKNOWN / 1.83%,Phi Mining / 1.83%,!!!ALLOCATION NOT PUBLIC!!! / 0.23%,,,,,
f064218,XinAn Xu,1520.00,0.44,Filbox / 61.05%,Wang Liang / 20.00%,Kernelogic / 18.95%,,,,,,,,,
f053229,unknown 1,1488.00,0.02,IPFS Union / 100.00%,,,,,,,,,,,
f010617,Kernelogic,1465.00,9.35,NBFS / 51.88%,Simba / 30.58%,Kernelogic / 15.29%,Askender / 2.18%,JV / 0.07%,,,,,,,
f019104,NBFS,1456.50,4.92,Askender / 43.94%,NBFS / 38.48%,s0nik42 / 15.38%,NEW/UNKNOWN / 2.20%,,,,,,,,
f01276,NBFS,1376.02,0.53,Kernelogic / 41.86%,Wang Liang / 20.93%,Askender / 16.28%,s0nik42 / 13.95%,NBFS / 3.49%,NEW/UNKNOWN / 2.33%,Filbox / 1.16%,,,,,
f034544,unknown cn 11,1341.00,0.03,FileDrive / 100.00%,,,,,,,,,,,
f049882,Chipz,1283.03,3.73,Speedium / 100.00%,,,,,,,,,,,
f034545,unknown cn 12,1277.00,0.02,FileDrive / 100.00%,,,,,,,,,,,
